academic_program,enrolled_2025_1,planned_proportional_sample,records_in_survey_export
Administración de Empresas,838,60,60
Administración de Sistemas Informáticos,412,30,30
Arquitectura,540,39,39
Ciencias de la Computación,189,14,14
Gestión Cultural y Comunicativa,116,8,8
Ingeniería Civil,509,37,37
Ingeniería Eléctrica,460,33,33
Ingeniería Electrónica,392,28,28
Ingeniería Física,272,20,20
Ingeniería Industrial,511,37,37
Ingeniería Química,476,34,34
Ingeniería Biológica,83,6,6
Matemáticas,115,8,8
Estadística,37,3,3
