Timestamp,What is your current year of study? ,Which school/course cluster are you from? ,"On average, how many hours PER WEEK do you spend using AI tools (e.g. ChatGPT, Claude, Gemini) for schoolwork? Please give a number, e.g. 3.5","On average, how many hours PER WEEK do you spend on independent study time (e.g. NO AI tools)? Please give a number, e.g. 6.7",Which AI tool(s) do you use most for schoolwork? (select all that apply) ,What do you mainly use AI tools for? (select one primary use) ,"On a scale of 1 (not confident) to 10 (very confident), how confident do you feel in your academic subjects overall? ","How much do you agree with this statement: ""I feel I would struggle academically without AI tools."" (1 = strongly disagree, 5 = strongly agree) "
11/07/2026 15:05:31,Year 3,SOE,2.5,5,"Claude, Gemini",Checking/writing work,6,4
11/07/2026 15:17:09,Year 3,SOE,2,3,"Claude, Gemini",Solving problems,8,3
11/07/2026 15:33:18,Year 3,HS,8,10,"ChatGPT, Gemini",Solving problems,1,1
11/07/2026 16:52:23,Year 3,HMIS,0,6,None,,8,1
11/07/2026 17:08:53,Year 2,BA,2,5,ChatGPT,Explaining concepts,6,3
11/07/2026 17:13:16,Year 3,SOE,6,37,"ChatGPT, Claude, Gemini, Deepseek",Explaining concepts,1,
11/07/2026 18:03:17,,ICT,2,20,ChatGPT,Explaining concepts,8,3
11/07/2026 18:41:39,Year 2,HMIS,0.25,5,"None, Deepseek sometimes",Translation/summarising,5,1
11/07/2026 18:51:27,Year 2,HS,1,7,Copilot cuz Its built in ,Translation/summarising,5,1
11/07/2026 18:54:12,Year 0,HS,4,3,"ChatGPT, Gemini",Explaining concepts,8,2
11/07/2026 23:07:16,Year 2,,0,2,"None, If really needed then Google AI overview",During group work when time is running out and I still can't find any information to help me answer the questions.,3,3
12/07/2026 13:38:43,Year 2,LSCT,2,8,ChatGPT,Checking/writing work,7,4
12/07/2026 21:32:36,Year 3,SOE,8,5,"ChatGPT, Gemini",Solving problems,6,1
21/07/2026 08:14:45,Year 1,SOE,4,20,"ChatGPT, Gemini",Solving problems,5,3
21/07/2026 08:26:44,Year 1,SOE,3.5,19,"Claude, Gemini",Solving problems,4,2
