response_date,age_years,gender,non_local_student,current_university_condition,receives_university_support,academic_program,current_program_term,cumulative_gpa_papa,independent_study_time,organizes_notes_before_tests,study_method_effectiveness,uses_supplementary_resources,procrastination_frequency,study_groups_or_tutoring,self_rated_academic_performance,satisfaction_with_grades,career_satisfaction_affects_motivation,program_meets_expectations,ai_tools_raw,ai_tools_standardized,n_ai_tools,ai_use_frequency_for_study,ai_helped_understand_topics,ai_use_in_academic_tasks_is_fraud,failed_evaluated_activity_due_to_ai,verifies_work_with_ai_after_completion,perceived_ai_dependence,perceived_creativity_reduction_from_ai,prompt_engineering_knowledge,uses_ai_for_nonacademic_activities
,23,Male,Yes,Full-time student,Yes,Ingeniería Industrial,9,3.3,3-4,Almost always,Neutral,Almost always,Occasionally,Rarely,Good,Rarely,Almost always,Almost always,Chat GPT.;Deep Seek.;Copilot.;Gemini.;Claude.,ChatGPT; DeepSeek; Copilot; Gemini; Claude,5,Almost always,Definitely yes,Disagree,No,Always,Probably yes,Probably yes,Probably yes,Yes
,19,Male,Yes,Study and work,No,Ciencias de la Computación,5,4.4,More than 5,Almost always,Very effective,Always,Occasionally,Rarely,Good,Almost always,Almost always,Always,Chat GPT.;Deep Seek.;Copilot.;Gemini.,ChatGPT; DeepSeek; Copilot; Gemini,4,Almost always,Definitely yes,Undecided,No,Rarely,Probably not,Not at all,Not at all,Yes
,21,Male,Yes,Full-time student,Yes,Ciencias de la Computación,7,4,3-4,Always,Effective,Always,Almost always,Occasionally,Outstanding,Occasionally,Almost always,Occasionally,Chat GPT.;Copilot.;Gemini.;Claude.,ChatGPT; Copilot; Gemini; Claude,4,Always,Definitely yes,Undecided,Yes,Almost always,A lot,Not at all,Probably yes,Yes
,22,Female,Yes,Study and work,Yes,Ingeniería Industrial,8,4.3,More than 5,Always,Effective,Almost always,Rarely,Occasionally,Outstanding,Almost always,Always,Always,"Chat GPT.;Deep Seek.;Copilot.;Gemini.;Claude.;chat pdf, lucid app",ChatGPT; DeepSeek; Copilot; Gemini; Claude; ChatPDF; Lucid App,7,Almost always,Definitely yes,Strongly disagree,No,Occasionally,Probably yes,Probably not,Probably yes,Yes
,19,Female,No,Full-time student,Yes,Estadística,3,4,4-5,Always,Effective,Always,Almost always,Occasionally,Good,Almost always,Occasionally,Almost always,Chat GPT.;Copilot.;Gemini.;Mónica,ChatGPT; Copilot; Gemini; Monica,4,Almost always,Probably yes,Strongly disagree,No,Always,Probably yes,Probably not,Probably not,Yes
,20,Male,No,Study and work,Yes,Ingeniería Electrónica,7,4,4-5,Always,Effective,Always,Occasionally,Rarely,Excellent,Almost always,Almost always,Always,Chat GPT.;Deep Seek.;Copilot.;Claude.,ChatGPT; DeepSeek; Copilot; Claude,4,Almost always,Definitely yes,Strongly disagree,No,Always,Probably yes,Not sure,Probably yes,Yes
,20,Female,Yes,Full-time student,Yes,Administración de Empresas,7,4.3,More than 5,Almost always,Effective,Occasionally,Rarely,Rarely,Good,Almost always,Almost always,Almost always,Chat GPT.;Copilot.;Notebook LM,ChatGPT; Copilot; NotebookLM,3,Occasionally,Probably yes,Undecided,No,Rarely,Probably not,Probably not,Probably yes,Yes
,21,Male,Yes,Full-time student,Yes,Matemáticas,9,4.3,4-5,Occasionally,Neutral,Almost always,Occasionally,Occasionally,Fair,Occasionally,Almost always,Almost always,Chat GPT.;Deep Seek.;Copilot.;Gemini.,ChatGPT; DeepSeek; Copilot; Gemini,4,Almost always,Definitely yes,Undecided,No,Occasionally,Probably yes,Not sure,Probably yes,Yes
,19,Female,Yes,Full-time student,Yes,Ingeniería Química,7,3.6,More than 5,Occasionally,Neutral,Almost always,Occasionally,Occasionally,Outstanding,Occasionally,Almost always,Almost always,Chat GPT.;Copilot.,ChatGPT; Copilot,2,Occasionally,Probably yes,Undecided,No,Rarely,Not sure,Not sure,Probably yes,Yes
,21,Male,Yes,Full-time student,Yes,Ingeniería Industrial,6,4.1,4-5,Almost always,Effective,Always,Occasionally,Occasionally,Good,Occasionally,Occasionally,Almost always,Chat GPT.;Deep Seek.;Copilot.;Gemini.,ChatGPT; DeepSeek; Copilot; Gemini,4,Almost always,Definitely yes,Undecided,No,Almost always,Probably yes,Probably not,Probably not,Yes
,19,Male,No,Full-time student,No,Administración de Sistemas Informáticos,5,4.4,4-5,Occasionally,Neutral,Almost always,Occasionally,Rarely,Good,Almost always,Always,Always,Chat GPT.;Copilot.;Gemini.,ChatGPT; Copilot; Gemini,3,Almost always,Definitely yes,Disagree,No,Almost always,Probably not,Not sure,Probably yes,Yes
,20,Male,No,Full-time student,No,Ingeniería Física,7,4.6,More than 5,Always,Very effective,Always,Rarely,Never,Outstanding,Always,Always,Almost always,Copilot.,Copilot,1,Rarely,Probably no,Agree,No,Rarely,Not at all,Not at all,Not at all,No
,22,Male,No,Full-time student,No,Ingeniería Electrónica,11,4.4,More than 5,Almost always,Very effective,Always,Occasionally,Rarely,Good,Almost always,Always,Almost always,Chat GPT.,ChatGPT,1,Always,Definitely yes,Undecided,No,Rarely,Probably yes,Probably yes,Not sure,Yes
,20,Female,Yes,Study and work,No,Ingeniería Física,8,3.9,4-5,Always,Neutral,Almost always,Occasionally,Rarely,Good,Occasionally,Almost always,Almost always,Deep Seek.,DeepSeek,1,Rarely,Neutral,Disagree,Yes,Occasionally,Not at all,Not sure,Not at all,Yes
,19,Male,Yes,Full-time student,Yes,Ingeniería Física,5,4.1,4-5,Occasionally,Slightly effective,Almost always,Almost always,Never,Good,Almost always,Occasionally,Almost always,Chat GPT.;Deep Seek.;Copilot.;Gemini.;Claude.;Grok,ChatGPT; DeepSeek; Copilot; Gemini; Claude; Grok,6,Almost always,Probably yes,Disagree,No,Occasionally,Probably not,Probably not,A lot,Yes
,18,Male,No,Study and work,No,Ciencias de la Computación,3,4.3,More than 5,Almost always,Neutral,Always,Almost always,Almost always,Good,Occasionally,Always,Always,Chat GPT.;Deep Seek.;Gemini.,ChatGPT; DeepSeek; Gemini,3,Almost always,Definitely yes,Undecided,No,Occasionally,Probably not,Probably not,Not sure,Yes
,18,Male,Yes,Full-time student,No,Ciencias de la Computación,5,3.6,More than 5,Always,Effective,Almost always,Occasionally,Rarely,Good,Occasionally,Almost always,Almost always,"Chat GPT.;Deep Seek.;Gemini.;Mathos, Aria.",ChatGPT; DeepSeek; Gemini; Mathos; Aria,5,Almost always,Definitely yes,Undecided,No,Occasionally,Probably not,Probably not,Probably yes,Yes
,24,Female,Yes,Full-time student,No,Ingeniería Física,7,3.6,2-3,Almost always,Slightly effective,Always,Almost always,Rarely,Good,Occasionally,Always,Occasionally,Chat GPT.;Deep Seek.,ChatGPT; DeepSeek,2,Always,Definitely yes,Undecided,No,Always,Probably yes,Probably yes,Probably not,Yes
,21,Female,Yes,Study and work,No,Ciencias de la Computación,6,3.5,More than 5,Always,Slightly effective,Almost always,Occasionally,Occasionally,Fair,Occasionally,Almost always,Almost always,Chat GPT.;Deep Seek.,ChatGPT; DeepSeek,2,Always,Definitely yes,Strongly disagree,Yes,Always,A lot,Probably not,Probably yes,Yes
,18,Female,Yes,Full-time student,No,Ciencias de la Computación,3,4,4-5,Always,Effective,Always,Almost always,Almost always,Good,Occasionally,Almost always,Always,Chat GPT.;Deep Seek.;Gemini.,ChatGPT; DeepSeek; Gemini,3,Almost always,Definitely yes,Undecided,No,Almost always,Not sure,Not sure,Probably not,Yes
,19,Male,No,Full-time student,No,Ciencias de la Computación,4,3.7,More than 5,Always,Neutral,Almost always,Occasionally,Rarely,Good,Occasionally,Almost always,Always,Chat GPT.;Deep Seek.;Copilot.,ChatGPT; DeepSeek; Copilot,3,Occasionally,Definitely yes,Undecided,No,Rarely,Probably not,Probably not,Probably not,Yes
,22,Male,No,Full-time student,No,Ingeniería Física,9,3.8,1-2,Rarely,Not effective at all,Rarely,Occasionally,Never,Fair,Never,Always,Almost always,Ninguna.,,0,Never,Probably yes,Strongly agree,No,Rarely,Not at all,Not at all,Not at all,Yes
,17,Male,No,Full-time student,No,Ciencias de la Computación,3,4.3,4-5,Almost always,Effective,Almost always,Almost always,Occasionally,Good,Almost always,Occasionally,Occasionally,Chat GPT.;Deep Seek.;Copilot.;Gemini.;Claude.;Black box,ChatGPT; DeepSeek; Copilot; Gemini; Claude; Blackbox,6,Almost always,Probably yes,Undecided,No,Occasionally,Not sure,Probably yes,Probably yes,Yes
,20,Female,No,Study and work,No,Ciencias de la Computación,6,4.2,More than 5,Always,Effective,Almost always,Occasionally,Occasionally,Good,Almost always,Almost always,Almost always,Chat GPT.;Deep Seek.;Copilot.,ChatGPT; DeepSeek; Copilot,3,Almost always,Definitely yes,Undecided,No,Almost always,Probably not,Probably yes,Not sure,Yes
,19,Female,Yes,Full-time student,No,Ingeniería Civil,5,4,More than 5,Almost always,Neutral,Almost always,Occasionally,Occasionally,Good,Occasionally,Almost always,Almost always,Chat GPT.;Copilot.;Gemini.,ChatGPT; Copilot; Gemini,3,Almost always,Probably yes,Disagree,No,Almost always,Not sure,Not sure,Not sure,Yes
,28,Male,Yes,Full-time student,Yes,Ingeniería Física,10,4,More than 5,Almost always,Slightly effective,Always,Always,Almost always,Outstanding,Rarely,Occasionally,Rarely,Chat GPT.;Deep Seek.;Gemini.,ChatGPT; DeepSeek; Gemini,3,Always,Definitely yes,Strongly agree,No,Always,Probably yes,A lot,Probably yes,Yes
,23,Male,No,Full-time student,No,Ingeniería Civil,11,3.9,1-2,Always,Very effective,Rarely,Always,Rarely,Outstanding,Almost always,Almost always,Almost always,Gemini.,Gemini,1,Rarely,Neutral,Disagree,No,Never,Not at all,Not at all,Probably not,Yes
,22,Male,No,Full-time student,No,Ingeniería Eléctrica,10,3.8,More than 5,Always,Effective,Almost always,Almost always,Almost always,Outstanding,Almost always,Always,Almost always,Chat GPT.;Gemini.,ChatGPT; Gemini,2,Almost always,Definitely yes,Disagree,Yes,Never,Probably not,Not sure,Not at all,No
,20,Male,No,Full-time student,No,Ciencias de la Computación,4,4.2,0-1,Rarely,Effective,Rarely,Occasionally,Occasionally,Excellent,Always,Always,Almost always,Chat GPT.,ChatGPT,1,Rarely,Neutral,Disagree,No,Rarely,Probably not,Not at all,Not at all,No
,17,Male,No,Full-time student,No,Ciencias de la Computación,3,4.6,More than 5,Never,Very effective,Always,Always,Rarely,Excellent,Occasionally,Occasionally,Rarely,Chat GPT.;Deep Seek.;Copilot.;Gemini.;Claude.;DeepMind.,ChatGPT; DeepSeek; Copilot; Gemini; Claude; DeepMind,6,Almost always,Definitely yes,Strongly disagree,No,Always,Not sure,Not at all,A lot,Yes
,18,Male,No,Study and work,No,Ingeniería Química,3,3.9,More than 5,Occasionally,Effective,Almost always,Occasionally,Rarely,Fair,Almost always,Rarely,Almost always,Deep Seek.,DeepSeek,1,Always,Definitely yes,Strongly disagree,No,Almost always,Probably yes,Not sure,Not at all,Yes
